Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
inositol.low.yeast,Female,0,1.01,1.01,0,0.18,0.38,0.21,0.18,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
IOD,Female,0.28,0.42,0.7,0.4,0.13,0.24,0.14,0.24,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics
IOD,Male,0.33,0.32,0.66,0.51,0.15,0.26,0.14,0.31,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics
IPI,Male,0.37,0.22,0.59,0.63,0.17,0.3,0.15,0.43,Behavioural,"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.","Turner, Miller and Cochrane (2013) Molecular Biology and Evolution"
iso-leucine.high.yeast,Female,0.01,0.99,0.99,0.01,0.16,0.33,0.19,0.16,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
iso-leucine.low.yeast,Female,0.26,0.48,0.73,0.35,0.15,0.28,0.15,0.26,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
isolated.aggression,Male,0.46,0,0.46,1,0.32,0.59,0.29,1.27,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
isoValeric.acid.high.yeast,Female,0.18,0.65,0.82,0.22,0.18,0.35,0.19,0.26,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
isoValeric.acid.low.yeast,Female,0.16,0.67,0.83,0.2,0.16,0.31,0.17,0.22,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
kallithea.resistance.LT50,Female,0,1.24,1.24,0,0.24,0.49,0.28,0.2,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens
kallithea.resistance.LT50,Male,0,1.01,1.01,0,0.16,0.34,0.2,0.16,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens
kallithea.viral.load,Female,0,1.08,1.08,0,0.23,0.47,0.26,0.21,Pathogen response,"Mean viral titre of kallithea virus found in groups of 10 adult females, 8 days after injection of 50 nL of 105 ID50 KV.  This is a measure of viral load, with higher values indicating greater viral load.",Palmer et al (2018) PLOS Pathogens
Klebsiella.pneumoniae,Female,0.22,0.54,0.77,0.29,0.12,0.24,0.13,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Klebsiella.pneumoniae,Male,0.46,0,0.46,1,0.1,0.17,0.08,0.36,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kocuria.polaris,Female,0.02,0.96,0.98,0.02,0.14,0.3,0.17,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kocuria.polaris,Male,0.21,0.58,0.79,0.27,0.16,0.31,0.17,0.25,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kocuria.sp.,Female,0,1.08,1.08,0,0.18,0.36,0.2,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kocuria.sp.,Male,0,1.02,1.02,0,0.13,0.29,0.17,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.europaeus,Female,0.12,0.75,0.88,0.14,0.15,0.3,0.17,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.europaeus,Male,0.04,0.93,0.96,0.04,0.12,0.25,0.15,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.hansenii,Female,0.03,0.94,0.97,0.03,0.1,0.23,0.14,0.11,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.hansenii,Male,0.04,0.93,0.96,0.04,0.13,0.28,0.16,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.intermedius,Female,0.17,0.65,0.83,0.21,0.17,0.33,0.17,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.intermedius,Male,0,1.05,1.05,0,0.15,0.31,0.18,0.14,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.kakiaceti,Female,0.24,0.53,0.77,0.31,0.16,0.3,0.16,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.kakiaceti,Male,0.13,0.74,0.87,0.15,0.16,0.31,0.17,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.medellinensis,Female,0.16,0.67,0.84,0.2,0.15,0.3,0.16,0.22,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.medellinensis,Male,0.07,0.87,0.93,0.07,0.14,0.3,0.17,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.oboediens,Female,0.21,0.58,0.79,0.26,0.16,0.3,0.16,0.24,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.oboediens,Male,0.07,0.86,0.93,0.07,0.14,0.29,0.17,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.rhaeticus,Female,0.21,0.58,0.79,0.27,0.17,0.33,0.17,0.27,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.rhaeticus,Male,0,1.12,1.12,0,0.21,0.43,0.24,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.xylinus,Female,0.36,0.3,0.66,0.54,0.16,0.28,0.14,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Komagataeibacter.xylinus,Male,0.11,0.77,0.89,0.13,0.18,0.35,0.19,0.22,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kozakia.baliensis,Female,0.17,0.66,0.83,0.21,0.15,0.3,0.16,0.22,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kozakia.baliensis,Male,0,1.16,1.16,0,0.18,0.36,0.21,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
kujin.virus.resistance,Female,0,1.23,1.23,0,0.38,0.77,0.42,0.31,Pathogen response,Mean survival after infection with the Kunjin subtype of the West Nile Virus. Calculated as the log(hazard ratio). Higher values indicate greater susceptibility to the virus.,Ahlers et al (2019) Cell Reports
L-Kynurenine.high.yeast,Female,0.02,0.96,0.98,0.02,0.16,0.33,0.19,0.17,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
L-Kynurenine.low.yeast,Female,0.06,0.88,0.94,0.06,0.17,0.35,0.2,0.19,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
L.monocytogenes.load,Male,0.04,0.93,0.97,0.05,0.33,0.67,0.35,0.36,Pathogen response,The median number  of colony forming units (originally log transformed) 48 hrs after initial infection with the bacterial pathogen L.monocytogenes. Higher values indicate a greater bacterial load and a more severe infection.,Hotson and Schneider (2015) G3
