Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
gut.permeability.radiation.f,0,1.15,1.15,0,0.28,0.56,0.3,0.24,Female,Physiology,"The mean proportion of 19 day-old flies with permeable guts, following exposure to 100 gray units of ionising radiation when flies were 5 days old. Gut permeability is an indicator of intestinal damage, and in this case was detected using the smurf assay. Higher values indicate greater intestinal damage.",Sharma et al (2020) Scientific reports
histamine.high.yeast.f,0.07,0.86,0.93,0.07,0.13,0.28,0.16,0.15,Female,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histamine.low.yeast.f,0.2,0.59,0.79,0.25,0.15,0.29,0.16,0.23,Female,Metabolome,Mean relative histamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histidine.high.yeast.f,0.07,0.86,0.93,0.08,0.14,0.29,0.17,0.16,Female,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
histidine.low.yeast.f,0.39,0.2,0.6,0.66,0.12,0.21,0.11,0.29,Female,Metabolome,Mean relative histidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
homogentisate.high.yeast.f,0.31,0.38,0.69,0.45,0.16,0.29,0.15,0.31,Female,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
homogentisate.low.yeast.f,0.48,0,0.48,1,0.11,0.17,0.09,0.36,Female,Metabolome,Mean relative homogentisate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
hydrogen.peroxide.resistance.f,0.16,0.69,0.84,0.19,0.18,0.35,0.19,0.25,Female,NA,Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,Harrison et al (2020) BMC Genomics
Hymenobacter.sp..f,0.3,0.41,0.71,0.42,0.15,0.28,0.15,0.29,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.sp..m,0.38,0.25,0.63,0.6,0.15,0.26,0.13,0.34,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.swuensis.f,0.08,0.84,0.92,0.09,0.16,0.33,0.18,0.19,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Hymenobacter.swuensis.m,0.19,0.62,0.81,0.23,0.14,0.27,0.15,0.21,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
hypoxanthine.high.yeast.f,0,1,1,0,0.18,0.38,0.21,0.18,Female,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
hypoxanthine.low.yeast.f,0.2,0.61,0.8,0.24,0.16,0.31,0.17,0.24,Female,Metabolome,Mean relative hypoxanthine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Ideonella.sp..f,0.23,0.54,0.77,0.3,0.14,0.27,0.15,0.23,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Ideonella.sp..m,0,1.13,1.13,0,0.17,0.36,0.2,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
imidacloprid.resistance.100ppm,0.49,0,0.49,1,0.13,0.19,0.1,0.4,Both,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 100ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
imidacloprid.resistance.25ppm,0.06,0.88,0.94,0.06,0.17,0.34,0.19,0.19,Both,Insecticide response,"Mean wiggle index for third instar larvae 1 hour into exposure to 25ppm of imidacloprid, a neonicotinoid pesticide. The wiggle index measures the relative movement ratio for larvae before and after they were exposed to imidacloprid. Higher values indicate a smaller decrease in motility and therefore greater resistance to imidacloprid.",Denecke et al (2017) Scientific Reports
IMP.high.yeast.f,0.01,0.99,0.99,0.01,0.14,0.3,0.17,0.14,Female,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
IMP.low.yeast.f,0.15,0.7,0.85,0.18,0.14,0.28,0.16,0.19,Female,Metabolome,Mean relative IMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inosine.high.yeast.f,0.09,0.81,0.91,0.1,0.17,0.34,0.19,0.2,Female,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inosine.low.yeast.f,0.15,0.69,0.85,0.18,0.18,0.36,0.19,0.25,Female,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inositol.high.yeast.fInositol,0.15,0.69,0.85,0.18,0.17,0.35,0.19,0.24,Female,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
inositol.low.yeast.f,0,1.01,1.01,0,0.18,0.38,0.21,0.18,Female,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
IOD.f,0.28,0.42,0.7,0.4,0.13,0.24,0.14,0.24,Female,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics
IOD.m,0.33,0.32,0.66,0.51,0.15,0.26,0.14,0.31,Male,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics
IPI.m,0.37,0.22,0.59,0.63,0.17,0.3,0.15,0.43,Male,Behavioural,"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.","Turner, Miller and Cochrane (2013) Molecular Biology and Evolution"
iso-leucine.high.yeast.f,0.01,0.99,0.99,0.01,0.16,0.33,0.19,0.16,Female,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
iso-leucine.low.yeast.f,0.26,0.48,0.73,0.35,0.15,0.28,0.15,0.26,Female,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
isolated.aggression.m,0.46,0,0.46,1,0.32,0.59,0.29,1.27,Male,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
isoValeric.acid.high.yeast.f,0.18,0.65,0.82,0.22,0.18,0.35,0.19,0.26,Female,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
isoValeric.acid.low.yeast.f,0.16,0.67,0.83,0.2,0.16,0.31,0.17,0.22,Female,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
kallithea.resistance.LT50.f,0,1.24,1.24,0,0.24,0.49,0.28,0.2,Female,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens
kallithea.resistance.LT50.m,0,1.01,1.01,0,0.16,0.34,0.2,0.16,Male,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens
kallithea.viral.load.f,0,1.08,1.08,0,0.23,0.47,0.26,0.21,Female,Pathogen response,"Mean viral titre of kallithea virus found in groups of 10 adult females, 8 days after injection of 50 nL of 105 ID50 KV.  This is a measure of viral load, with higher values indicating greater viral load.",Palmer et al (2018) PLOS Pathogens
Klebsiella.pneumoniae.f,0.22,0.54,0.77,0.29,0.12,0.24,0.13,0.2,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Klebsiella.pneumoniae.m,0.46,0,0.46,1,0.1,0.17,0.08,0.36,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Kocuria.polaris.f,0.02,0.96,0.98,0.02,0.14,0.3,0.17,0.15,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
