Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Muñoz-Muñoz et al (2016) Evolution,wing.size.m,40,Male,Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najarro et al (2015) PLOS Genetics,caffeine.resistance.f,164,Female,"Mean time, in hours, adult females survived during continuous exposure to medium supplemented with 1% caffeine. Higher values indicate greater resistance to caffeine","MA Najarro, JL Hackett, BR Smith, CA Highfill…",Identifying Loci Contributing to Natural Variation in Xenobiotic Resistance in Drosophila,2015,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005663,01-Mar,NA,NA,cornmeal molasses yeast,25,NA
"Najarro, Hackett and Macdonald (2017) G3",boric.acid.resistance.f,163,Female,"Mean lifespan, measured in hours, for mated females exposed to media supplemented with 1.5% boric acid (BH3O3, BP168). Boric acid is a common household pesticide. Higher values indicate a greater resistance to boric acid.",M. Najarro,Loci contributing to boric acid toxicity in two reference populations of Drosophila melanogaster,2017,https://doi.org/10.1534/g3.117.041418,NA,16,NA,cornmeal yeast dextrose,25,NA
Nelson et al (2016) BMC Genomics,glucose.yeast.poor.diet.f,181,Female,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,"CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,glucose.yeast.rich.diet.f,181,Female,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,"CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,triglyceride.poor.diet.f,172,Female,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher triglyceride levels.,"CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,triglyceride.yeast.rich.diet.f,172,Female,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher triglyceride levels.,"CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,mass.yeast.poor.diet.f,181,Female,"Mean virgin female body mass for groups of three flies, after rearing on food with 0.5% yeast content (dietary restricted). Higher values indicate heavier flies.","CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,mass.yeast.rich.diet.f,181,Female,"Mean virgin female body mass for groups of three flies, after rearing on food with 5% yeast content (ab libitum diet). Higher values indicate heavier flies.","CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,starvation.resistance.yeast.poor.diet.f,171,Female,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.","CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Nelson et al (2016) BMC Genomics,starvation.resistance.yeast.rich.diet.f,171,Female,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.","CS Nelson, JN Beck, KA Wilson, ER Pilcher, P Kapahi…",Cross-phenotype association tests uncover genes mediating nutrient response in Drosophila,2016,https://link.springer.com/article/10.1186/s12864-016-3137-9,"10,7",100,NA,NA,NA,NA
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.absolute.f,32,Female,Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.,"H Okada, HA Ebhardt, SC Vonesch…",Proteome-wide association studies identify biochemical modules associated with a wing-size phenotype in Drosophila melanogaster,2016,https://www.nature.com/articles/ncomms12649,NA,NA,NA,"100 g of fresh yeast, 55 g of cornmeal, 10 g of wheat flour, 75 g of sugar and 8 g of bacto agar",25,NA
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.absolute.f,32,Female,Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.,Okada et al,Sex-dependent and sex-independent regulatory systems of size variation in natural populations,2019,https://doi.org/10.15252/msb.20199012,NA,NA,NA,NA,NA,A subset of this data was originally collected in Okada et al 2016. This later dataset has more lines
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.absolute.m,32,Male,Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.,"H Okada, HA Ebhardt, SC Vonesch…",Proteome-wide association studies identify biochemical modules associated with a wing-size phenotype in Drosophila melanogaster,2016,https://www.nature.com/articles/ncomms12649,NA,NA,NA,"100 g of fresh yeast, 55 g of cornmeal, 10 g of wheat flour, 75 g of sugar and 8 g of bacto agar",25,NA
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.absolute.m,32,Male,Wing imaginal disk size in third instar larvae – measured as absolute centroid size. Larger values indicate larger wing disks.,Okada et al,Sex-dependent and sex-independent regulatory systems of size variation in natural populations,2019,https://doi.org/10.15252/msb.20199012,NA,NA,NA,NA,NA,A subset of this data was originally collected in Okada et al 2016. This later dataset has more lines
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.relative.f,32,Female,Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.,"H Okada, HA Ebhardt, SC Vonesch…",Proteome-wide association studies identify biochemical modules associated with a wing-size phenotype in Drosophila melanogaster,2016,https://www.nature.com/articles/ncomms12649,NA,NA,NA,"100 g of fresh yeast, 55 g of cornmeal, 10 g of wheat flour, 75 g of sugar and 8 g of bacto agar",25,NA
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.relative.f,32,Female,Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.,Okada et al,Sex-dependent and sex-independent regulatory systems of size variation in natural populations,2019,https://doi.org/10.15252/msb.20199012,NA,NA,NA,NA,NA,A subset of this data was originally collected in Okada et al 2016. This later dataset has more lines
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.relative.m,32,Male,Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.,"H Okada, HA Ebhardt, SC Vonesch…",Proteome-wide association studies identify biochemical modules associated with a wing-size phenotype in Drosophila melanogaster,2016,https://www.nature.com/articles/ncomms12649,NA,NA,NA,"100 g of fresh yeast, 55 g of cornmeal, 10 g of wheat flour, 75 g of sugar and 8 g of bacto agar",25,NA
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology,wing.imaginal.disk.size.relative.m,32,Male,Wing imaginal disk size in third instar larvae – measured as centroid size after controlling for body size. Larger values indicate larger wing disks relative to body size.,Okada et al,Sex-dependent and sex-independent regulatory systems of size variation in natural populations,2019,https://doi.org/10.15252/msb.20199012,NA,NA,NA,NA,NA,A subset of this data was originally collected in Okada et al 2016. This later dataset has more lines
Orsted et al (2018) Evolution,critical.thermal.min.23C.m,162,Male,"The critical thermal minimum (CT min), which is defined as the temperature at which a complete cessation of movement is observed as a result of the fly entering chill coma. Egg-to-adult development occurred at 23C. Higher values indicate a higher CT min.",M. Ørsted,Environmental variation partitioned into separate heritable components,2018,https://doi.org/10.1111/evo.13391,02-Mar,NA,NA,oatmeal sugar agar yeast,23,NA
Orsted et al (2018) Evolution,critical.thermal.min.developmental.stability.m,166,Male,"Flies were reared at five different temperatures during development, after which adult critical thermal minimums (CT min) were measured. Developmental stability across environments is the consistency of within-environment variation in CT min across environments. The authors calculate this by taking the highest coefficient of variation (CV) in CT min at any rearing temperature, minus the lowest CV at any other given rearing temperature. Lower values indicate greater developmental stability across rearing temperatures.",M. Ørsted,Environmental variation partitioned into separate heritable components,2018,https://doi.org/10.1111/evo.13391,02-Mar,NA,NA,oatmeal sugar agar yeast,23,NA
Orsted et al (2018) Evolution,critical.thermal.min.plasticity.m,166,Male,"Flies were reared at fiev different temperatures during development, after which adult critical thermal minimums were measured (CT min). Reaction norms for each DGRP line were calculated using the linear model lm (CTmin ~ Rearing temperature). The absolute value of the slope provides a measure of the plastic response to temperature. Higher values indicate greater thermal plasticity.",M. Ørsted,Environmental variation partitioned into separate heritable components,2018,https://doi.org/10.1111/evo.13391,02-Mar,NA,NA,oatmeal sugar agar yeast,23,NA
Orsted et al (2018) Evolution,critical.thermal.min.plasticity.variation.m,166,Male,"Flies were reared at fiev different temperatures during development, after which adult critical thermal minimums (CT min) were measured. Reaction norms for each DGRP line were calculated using the linear model lm (CTmin ~ Rearing temperature). The standard error of the slope provides a measure of the extent to which the same genotype can produce the same plastic response consistently. Higher values indicate greater variance in thermal plasticity.",M. Ørsted,Environmental variation partitioned into separate heritable components,2018,https://doi.org/10.1111/evo.13391,02-Mar,NA,NA,oatmeal sugar agar yeast,23,NA
Orsted et al (2018) Evolution,critical.thermal.min.within.environment.variation.plasticity.m,166,Male,"Flies were reared at five different temperatures during development, after which adult critical thermal minimums were measured. This trait captures how consistently a genotype produces the same phenotype at a given rearing temperature. Higher values indicate greater variance in phenotype within a rearing temperature.",M. Ørsted,Environmental variation partitioned into separate heritable components,2018,https://doi.org/10.1111/evo.13391,02-Mar,NA,NA,oatmeal sugar agar yeast,23,NA
Palmer et al (2018) PLOS Pathogens,kallithea.resistance.LT50.f,119,Female,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,"WH Palmer, NC Medd, PM Beard, DJ Obbard","Isolation of a natural DNA virus of Drosophila melanogaster, and characterisation of host resistance and immune responses",2018,https://doi.org/10.1371/journal.ppat.1007050,NA,30,10 sex-separated,cornmeal,25,NA
